iter	RMSE
0	8325.988241
1	7715.806501
2	7155.280974
3	6634.59891
4	6158.294859
5	5717.582521
6	5315.461279
7	4944.416174
8	4603.761423
9	4291.134345
10	4002.899366
11	3733.407865
12	3490.924818
13	3266.470789
14	3063.2636
15	2866.472486
16	2693.479678
17	2536.104824
18	2389.585139
19	2246.824156
20	2112.848571
21	1993.457018
22	1886.506615
23	1783.224971
24	1695.84763
25	1606.226773
26	1527.686869
27	1457.094133
28	1390.174483
29	1328.030092
30	1273.440242
31	1220.103425
32	1175.407258
33	1129.977761
34	1090.208721
35	1050.471828
36	1015.53343
37	987.494184
38	957.6915575
39	930.7523464
40	905.047542
41	881.5954461
42	858.8300808
43	837.6438983
44	818.6680593
45	802.0033062
46	783.9728977
47	769.5066504
48	756.372052
49	742.8294379
50	732.1889785
51	722.6748398
52	713.4169187
53	703.2305946
54	693.6959291
55	686.4871758
56	678.4883985
57	671.7213137
58	664.0704176
59	657.2687074
60	650.0818885
61	645.2216445
62	640.4244531
63	635.2130203
64	629.7586797
65	624.4133229
66	618.8248338
67	613.9383905
68	608.717333
69	603.5292903
70	600.7016447
71	597.2386574
72	592.779691
73	588.1811576
74	584.9138012
75	581.5058002
76	578.0135461
77	573.8762999
78	571.9111481
79	568.4425486
80	565.5559568
81	561.9150476
82	557.5332499
83	554.3366626
84	550.9714956
85	548.4152519
86	545.422129
87	543.2142989
88	541.2903335
89	538.549115
90	536.1179681
91	533.3792188
92	530.9805975
93	527.9094844
94	524.6903185
95	522.2401616
96	519.4780597
97	517.0698965
98	515.232112
99	512.7659723
100	509.4529487
101	506.8993518
102	504.4267943
103	502.0693298
104	500.4453325
105	498.2853663
106	496.1953167
107	494.0090426
108	492.2940871
109	490.3672916
110	487.6219772
111	485.5979781
112	483.7523536
113	482.1423381
114	480.44326
115	478.7653866
116	477.0932068
117	473.8735764
118	472.2593801
119	470.830498
120	468.9736711
121	467.3571259
122	465.638131
123	464.2304222
124	461.5661036
125	459.0482609
126	457.2675449
127	455.8345091
128	454.6157708
129	452.9309648
130	450.7510978
131	449.8095439
132	448.0671369
133	446.3667774
134	445.0778995
135	443.9262362
136	441.3337371
137	438.9569598
138	437.6436111
139	436.9897557
140	435.6364279
141	433.4890436
142	431.0102407
143	428.9596941
144	428.1033005
145	425.9595834
146	424.6423012
147	422.5719253
148	421.4206754
149	420.2602107
150	419.1021556
151	417.8999213
152	415.6997252
153	414.5342052
154	413.4506416
155	412.45955
156	411.1333739
157	409.3565711
158	408.2902067
159	407.1807883
160	406.034535
161	404.5580071
162	403.3903917
163	402.3621347
164	401.0052939
165	399.8126433
166	398.7012633
167	397.2013474
168	395.6308956
169	394.0024397
170	392.7590816
171	391.8176128
172	389.770633
173	388.0101007
174	386.8509542
175	385.9718414
176	385.0641387
177	383.6696989
178	382.8344506
179	380.9482931
180	379.5308817
181	377.6001218
182	376.9078841
183	376.0925264
184	375.2265568
185	374.3141599
186	372.6128884
187	371.642026
188	370.9880893
189	370.0913279
190	368.2978253
191	367.7376547
192	366.1792575
193	364.6170928
194	363.6443247
195	362.4413203
196	361.4433424
197	360.8983701
198	359.2120746
199	358.5422562
200	357.2889901
201	355.9729379
202	355.4306499
203	353.3882327
204	352.2793771
205	350.6525312
206	349.9315809
207	349.0404183
208	347.7180305
209	346.3887257
210	345.4740487
211	344.7655793
212	343.7160706
213	342.9572321
214	341.5169448
215	340.6366865
216	339.9225507
217	339.3251583
218	338.2551323
219	337.5068027
220	337.0315678
221	336.2694009
222	334.9906034
223	333.5826436
224	332.9961867
225	332.2434674
226	331.8744586
227	330.7055063
228	329.8198177
229	329.1133271
230	328.4450208
231	327.4637655
232	327.0559518
233	326.3212705
234	325.0860928
235	323.9652364
236	322.6473252
237	322.0808737
238	320.806786
239	319.4579134
240	318.5354585
241	318.008151
242	316.5703314
243	315.3664867
244	313.8966093
245	313.0834214
246	311.8213924
247	311.3597316
248	310.3334762
249	309.0100456
250	308.5311197
251	308.2392714
252	307.7823167
253	307.1897018
254	305.9440137
255	305.1003191
256	304.4780967
257	303.8946648
258	303.5597482
259	302.3567221
260	301.6352362
261	300.8427493
262	300.2028997
263	299.5848531
264	298.3988557
265	297.5815502
266	296.9569685
267	296.4215988
268	295.4037102
269	294.4854998
270	293.9013452
271	293.2960708
272	292.4265859
273	291.9815002
274	290.9380045
275	290.1329452
276	289.311887
277	288.7780607
278	287.9008938
279	287.5058645
280	286.9674042
281	285.8604777
282	285.0000262
283	284.663338
284	283.9836257
285	283.5938386
286	282.5896419
287	281.8734481
288	281.3937299
289	280.5978368
290	280.1641912
291	279.3281265
292	278.6013677
293	278.1306858
294	277.3898017
295	276.2193312
296	275.8564567
297	275.080538
298	274.1979125
299	273.4409557
300	272.9928811
301	272.6614935
302	272.1380878
303	271.7592507
304	270.8813633
305	269.9582868
306	269.3774118
307	269.1272425
308	268.6948772
309	268.3393551
310	267.7967164
311	266.9418132
312	266.3143626
313	265.9472529
314	265.6695477
315	264.6786771
316	264.2963666
317	263.4705432
318	263.1791188
319	262.7239386
320	262.4603215
321	261.8624883
322	261.0400786
323	260.2124549
324	259.6640504
325	259.3062035
326	258.7514332
327	258.2276626
328	257.6488442
329	256.845574
330	256.4293536
331	256.147856
332	255.3998654
333	255.1684049
334	254.8375114
335	254.2950446
336	254.0298024
337	253.5097405
338	252.9570419
339	252.6130387
340	251.8635945
341	251.404095
342	250.5906745
343	250.1588509
344	249.8202969
345	249.3368401
346	248.5928371
347	248.0426522
348	247.6307693
349	247.2807307
350	246.9432655
351	246.2465758
352	246.0107704
353	245.4297232
354	245.0438931
355	244.592196
356	244.2905191
357	243.7231711
358	243.2513758
359	242.6791442
360	241.9634403
361	241.6800091
362	241.0712479
363	240.881839
364	240.4984161
365	240.150852
366	239.4224661
367	239.1312479
368	238.5701357
369	238.1828299
370	237.7482067
371	237.0816526
372	236.8799822
373	236.3374872
374	235.9901398
375	235.4348681
376	235.0605389
377	234.9428076
378	234.3097297
379	233.5018879
380	233.1107341
381	232.7145378
382	231.9528052
383	231.7109144
384	231.1343716
385	230.3343846
386	229.9731708
387	229.5652591
388	229.1166376
389	228.5996475
390	228.2890937
391	227.9137298
392	227.58819
393	227.1786027
394	226.6046516
395	226.0216758
396	225.3040511
397	225.0115208
398	224.6081567
399	224.3055904
400	224.1230956
401	223.7076232
402	222.9012222
403	222.6977658
404	222.4305452
405	222.1590127
406	221.7567759
407	221.2743439
408	221.0874259
409	220.7385469
410	220.3027636
411	220.1219386
412	219.5501666
413	219.0618286
414	218.5151542
415	217.9631514
416	217.3453475
417	216.7671918
418	216.2406424
419	215.9415294
420	215.4579716
421	215.2952125
422	214.9815612
423	214.7938684
424	214.2574718
425	214.096363
426	213.6624712
427	213.4802069
428	213.0543489
429	212.7145328
430	212.5364802
431	212.2003784
432	211.992873
433	211.7096506
434	211.232209
435	211.0562279
436	210.6329497
437	210.4211853
438	210.2277634
439	209.7944366
440	209.4908192
441	209.1827207
442	208.6908871
443	208.2736391
444	207.9028215
445	207.2726367
446	207.1248581
447	206.8848782
448	206.4605249
449	206.2363079
450	205.5997625
451	205.2506568
452	205.0807169
453	204.8634919
454	204.4291262
455	203.9499468
456	203.5026283
457	203.1596891
458	203.0096249
459	202.6440462
460	202.1288671
461	201.8578768
462	201.6649918
463	201.1305526
464	201.0257791
465	200.8112349
466	200.6375041
467	200.5025213
468	200.2544323
469	200.0069556
470	199.4732415
471	198.9262266
472	198.682234
473	198.330832
474	198.0401681
475	197.9119834
476	197.5359234
477	197.1239818
478	196.9652282
479	196.5217247
480	196.1137507
481	195.9963758
482	195.6120801
483	195.3175692
484	194.9656942
485	194.5668301
486	194.3997358
487	194.0887216
488	193.8356779
489	193.7037825
490	193.5023035
491	193.3450341
492	192.9529498
493	192.8573061
494	192.6760146
495	192.3873659
496	191.9372127
497	191.6537856
498	191.5769902
499	191.2732906
500	191.079631
501	190.922479
502	190.7257159
503	190.6088366
504	190.2077342
505	189.98171
506	189.6186896
507	189.3642201
508	189.1161574
509	188.9884001
510	188.7996952
511	188.7053712
512	188.2667791
513	187.9757473
514	187.7627465
515	187.4932825
516	187.0375303
517	186.7842923
518	186.4869517
519	185.9390922
520	185.693563
521	185.3549633
522	185.0699186
523	184.7626558
524	184.5640807
525	183.9751618
526	183.7074072
527	183.5601713
528	183.2672999
529	182.9628659
530	182.7824808
531	182.521415
532	182.3644457
533	182.2684366
534	182.0470911
535	181.8794314
536	181.5598229
537	181.1011624
538	180.7787366
539	180.5881905
540	180.2945859
541	180.1183098
542	179.8869966
543	179.6725045
544	179.3864756
545	179.1871475
546	178.7711519
547	178.4864789
548	178.1878264
549	178.0397262
550	177.8401124
551	177.7146845
552	177.5288459
553	177.3023924
554	176.9651692
555	176.4912733
556	176.3008829
557	175.9206333
558	175.5701817
559	175.3954167
560	175.1852933
561	174.9733144
562	174.6052935
563	174.4683122
564	173.9598107
565	173.7713547
566	173.4650939
567	173.3329088
568	173.2499448
569	173.0743184
570	172.7016926
571	172.3911881
572	172.304343
573	172.1802785
574	171.9140603
575	171.5666814
576	171.3484405
577	171.2542166
578	171.0247051
579	170.8753955
580	170.7233908
581	170.5352304
582	170.4495015
583	170.3309811
584	170.0038577
585	169.890466
586	169.7228237
587	169.4065681
588	169.2719228
589	168.9633282
590	168.7553458
591	168.6543479
592	168.5059983
593	168.2695283
594	168.0058652
595	167.89726
596	167.7780004
597	167.6281049
598	167.3011502
599	166.9292082
600	166.7291082
601	166.4595849
602	166.348707
603	166.1366192
604	165.8225378
605	165.6404509
606	165.4806538
607	165.3107204
608	165.2253361
609	164.9709672
610	164.6825482
611	164.449409
612	164.1866822
613	163.9674229
614	163.8783598
615	163.640142
616	163.4270574
617	163.2686455
618	163.1294748
619	163.0433084
620	162.8905723
621	162.6441099
622	162.4735683
623	162.2991769
624	162.0962685
625	161.8064045
626	161.512318
627	161.3390348
628	161.1956914
629	160.9451159
630	160.6768174
631	160.5047834
632	160.3890571
633	160.1924539
634	159.9512275
635	159.820414
636	159.6178412
637	159.3765434
638	159.114499
639	158.9022481
640	158.7806399
641	158.6271008
642	158.5254511
643	158.2079724
644	158.0388752
645	157.8387171
646	157.6663261
647	157.4131293
648	157.1532644
649	157.0008024
650	156.8519717
651	156.6244213
652	156.4847012
653	156.3335188
654	156.2447904
655	156.0784253
656	155.8302679
657	155.5514452
658	155.3218038
659	155.1753221
660	155.051033
661	154.9587628
662	154.7721278
663	154.6360708
664	154.5539791
665	154.2996556
666	154.0051715
667	153.7562308
668	153.4915775
669	153.3516774
670	153.186114
671	152.926866
672	152.7244448
673	152.3926282
674	152.2874981
675	152.0343206
676	151.8733199
677	151.7249075
678	151.5076799
679	151.4360469
680	151.2931022
681	151.1589884
682	150.9198562
683	150.8539206
684	150.7560605
685	150.6792867
686	150.552454
687	150.4249201
688	150.3266818
689	150.2567577
690	150.129662
691	149.9620645
692	149.7833918
693	149.6667853
694	149.5351967
695	149.4339865
696	149.2692415
697	149.0805188
698	149.0111653
699	148.9340753
700	148.6670392
701	148.6160675
702	148.4897365
703	148.3029781
704	148.0567536
705	147.9756077
706	147.8215268
707	147.6915696
708	147.441466
709	147.2512964
710	146.9090157
711	146.6741265
712	146.5636832
713	146.4146946
714	146.2969381
715	146.1474312
716	146.0102919
717	145.9481383
718	145.7883335
719	145.6933361
720	145.621366
721	145.4009925
722	145.1178909
723	144.8917139
724	144.768484
725	144.4244763
726	144.2520764
727	144.0360171
728	143.9313059
729	143.8419431
730	143.6341059
731	143.3340288
732	143.1820696
733	143.106067
734	142.9918094
735	142.7490652
736	142.6489648
737	142.5824045
738	142.4009821
739	142.2432319
740	142.1197901
741	141.9231732
742	141.5922958
743	141.4104584
744	141.1087764
745	141.0093207
746	140.9515543
747	140.8642056
748	140.662036
749	140.4864467
750	140.4219216
751	140.3182061
752	140.2757359
753	140.151104
754	139.9859618
755	139.9149131
756	139.7194432
757	139.4580742
758	139.2060884
759	139.1374531
760	138.9735822
761	138.9368773
762	138.8159299
763	138.573585
764	138.4277956
765	138.3342874
766	138.1937103
767	137.9646508
768	137.8485011
769	137.7882217
770	137.6868557
771	137.5384542
772	137.4014338
773	137.1542445
774	136.9299595
775	136.743755
776	136.5748532
777	136.3586285
778	136.2171554
779	136.0414164
780	135.8861773
781	135.7411179
782	135.5526666
783	135.3912897
784	135.2039511
785	135.0820641
786	134.760139
787	134.6642902
788	134.5378967
789	134.4100765
790	134.2010173
791	134.1166621
792	134.007319
793	133.8759966
794	133.787197
795	133.7243173
796	133.6247139
797	133.5361784
798	133.4581265
799	133.375772
800	133.3372476
801	133.2006992
802	133.086014
803	133.0431744
804	132.8836775
805	132.8023348
806	132.7175714
807	132.6393752
808	132.5450432
809	132.4545416
810	132.3276805
811	132.2507703
812	132.1430161
813	132.0810179
814	131.98241
815	131.8200091
816	131.6822781
817	131.4852233
818	131.3852801
819	131.103042
820	131.0254868
821	130.9657572
822	130.8292267
823	130.67939
824	130.6166671
825	130.4868131
826	130.3143108
827	130.1391743
828	130.0349186
829	129.7912792
830	129.7231749
831	129.6197348
832	129.5777658
833	129.4619409
834	129.1837702
835	129.0436192
836	128.9391308
837	128.8482844
838	128.6886584
839	128.6087466
840	128.5496627
841	128.4226781
842	128.3467172
843	128.1993822
844	128.1225036
845	128.0215376
846	127.7665798
847	127.6098706
848	127.4980773
849	127.3256484
850	127.1863509
851	127.0207035
852	126.9039376
853	126.795655
854	126.6717413
855	126.5204389
856	126.4195499
857	126.3496323
858	126.2387319
859	126.1450093
860	126.0171008
861	125.8395044
862	125.764121
863	125.6229684
864	125.4705052
865	125.3694869
866	125.2859689
867	125.182624
868	125.0851871
869	124.9527415
870	124.7874145
871	124.7038151
872	124.6214935
873	124.5558004
874	124.4495905
875	124.3778591
876	124.1451851
877	124.0329254
878	123.8922319
879	123.7083152
880	123.6143446
881	123.527285
882	123.4133794
883	123.3211255
884	123.1940997
885	123.1062197
886	123.009349
887	122.8864203
888	122.7876708
889	122.6440368
890	122.5441967
891	122.3462201
892	122.2722807
893	122.0157306
894	121.9408268
895	121.7984727
896	121.6925315
897	121.619314
898	121.574522
899	121.4960356
900	121.4333245
901	121.2932554
902	121.2267049
903	121.0294915
904	120.9368198
905	120.7867248
906	120.755143
907	120.6570682
908	120.5422357
909	120.4834094
910	120.3367678
911	120.1714659
912	120.0680653
913	119.9361138
914	119.8532574
915	119.7171379
916	119.6304883
917	119.447132
918	119.3472062
919	119.1353919
920	119.0599221
921	118.8919287
922	118.7937937
923	118.6186631
924	118.4632926
925	118.3638445
926	118.2197941
927	118.1165492
928	117.9320588
929	117.8544194
930	117.6327583
931	117.5695897
932	117.5102218
933	117.3203356
934	117.166831
935	117.0143264
936	116.8424611
937	116.7709846
938	116.6777098
939	116.6023843
940	116.5279126
941	116.4309669
942	116.391328
943	116.3076234
944	116.2324371
945	116.1473976
946	116.0451475
947	115.9199435
948	115.7969337
949	115.623257
950	115.5091949
951	115.4583207
952	115.3825796
953	115.2272643
954	115.1583968
955	115.0270806
956	114.9752485
957	114.8681765
958	114.7790541
959	114.7301252
