iter	RMSE
182	614.181878
183	614.0441288
184	613.9133706
185	612.9434574
186	612.8246754
187	612.7098397
188	612.5981394
189	611.2049205
190	608.4976033
191	606.6798972
192	604.6685202
193	604.5968105
194	604.493483
195	602.1597134
196	602.0602841
197	601.2036918
198	599.1259038
199	599.029134
200	598.9375453
201	598.875405
202	597.0094812
203	595.0926007
204	595.0107965
205	593.2411666
206	592.4798169
207	590.9273248
208	589.2667577
209	587.6497012
210	586.6392871
211	584.6778225
212	582.7875017
213	582.7137302
214	582.1680407
215	581.6057436
216	580.0122355
217	578.1805208
218	577.5442788
219	576.4984561
220	574.4407284
221	573.8566782
222	573.2539099
223	571.6977525
224	568.8746167
225	567.9895289
226	567.9458537
227	565.6603041
228	563.2206317
229	562.7157921
230	562.6729009
231	561.1368532
232	559.1075069
233	557.8312377
234	557.4532797
235	555.9018178
236	555.0331689
237	553.3768693
238	552.3977101
239	551.0251356
240	549.30346
241	548.1248609
242	546.4870144
243	545.0556221
244	543.1834454
245	542.0050569
246	541.7096406
247	540.2397389
248	539.2100657
249	538.0010817
250	536.8071605
251	535.528316
252	533.5382751
253	532.3713757
254	531.7334354
255	531.2463681
256	529.7649088
257	528.7848638
258	527.6670321
259	526.5266728
260	525.379479
261	523.8346107
262	523.0165877
263	521.7174037
264	520.0298124
265	519.2342165
266	518.2419692
267	517.6916046
268	516.4175915
269	516.0986146
270	515.0737877
271	514.0410472
272	512.503157
273	511.4857943
274	511.4566555
275	510.6101248
276	508.903128
277	507.6407343
278	506.81191
279	505.4615908
280	504.2645017
281	503.28818
282	502.3665768
283	501.4589653
284	500.788514
285	500.0462198
286	498.6335963
287	497.2960808
288	496.587353
289	495.6858073
290	494.9718427
291	494.3204918
292	493.51492
293	492.9140827
294	492.4364321
295	491.6386634
296	490.7292813
297	489.0676432
298	488.6444341
299	488.2796502
300	487.3064885
301	487.2754532
302	486.1618417
303	485.4199363
304	484.1509854
305	484.1232608
306	483.3614459
307	482.404772
308	481.470157
309	480.2125894
310	479.1235476
311	479.0945727
312	478.139951
313	477.0374316
314	476.7544655
315	476.3935497
316	475.44735
317	474.2558498
318	473.0504403
319	471.8929124
320	470.4877702
321	470.063903
322	469.3307068
323	468.4290149
324	468.04021
325	467.5132476
326	466.7425782
327	465.8490637
328	464.9721061
329	464.3158578
330	463.413799
331	462.0930686
332	461.3497696
333	460.976028
334	459.9548696
335	459.090908
336	457.8015097
337	456.925067
338	455.9105517
339	455.3392913
340	454.144652
341	453.6910542
342	452.6827762
343	452.532268
344	452.2220247
345	451.4050859
346	451.054102
347	450.4580133
348	449.2592851
349	449.054759
350	448.9147688
351	448.3788047
352	447.4368402
353	446.2912251
354	445.4682654
355	444.9400298
356	444.390216
357	443.8508648
358	443.4353788
359	442.5624026
360	441.5289862
361	440.4781902
362	439.9342523
363	439.7963775
364	439.1236281
365	438.8682521
366	438.0107652
367	436.7788582
368	436.65046
369	436.0775096
370	435.3472854
371	435.0996595
372	434.5434837
373	433.6064924
374	432.9336852
375	432.068076
376	431.108382
377	431.0151462
378	430.4049571
379	429.4701467
380	429.0566475
381	428.1334791
382	427.0827897
383	426.8837332
384	426.3901337
385	425.8520808
386	425.2660283
387	424.8429312
388	424.231366
389	423.9023035
390	423.37146
391	423.1080809
392	422.3253568
393	421.8146978
394	421.2599609
395	420.8176413
396	420.3736813
397	419.7805099
398	419.4194572
399	418.6779048
400	417.6967202
401	417.2699809
402	416.7932432
403	416.4291938
404	415.5635526
405	414.9985057
406	414.6206643
407	414.0113345
408	413.5056482
409	413.2868946
410	413.1857724
411	412.3374878
412	411.8557545
413	411.6319402
414	410.8377606
415	410.2694768
416	409.3616125
417	408.6245536
418	407.782082
419	407.3707774
420	406.8403176
421	406.2449116
422	405.8192856
423	405.4403346
424	404.643269
425	404.3333174
426	403.4235173
427	402.8702763
428	402.5187825
429	401.6219406
430	401.0133211
431	400.7610255
432	400.4555545
433	400.072781
434	399.3082212
435	398.553119
436	397.9581076
437	397.3600294
438	397.0098109
439	396.4593362
440	396.0889704
441	395.9294725
442	395.5992525
443	395.4567566
444	395.286635
445	394.743526
446	394.1559035
447	393.9391666
448	393.1724517
449	392.6449586
450	391.6901566
451	391.2824297
452	390.4554371
453	389.8101708
454	389.2278369
455	388.360186
456	387.8982663
457	387.5243758
458	386.947976
459	386.5647546
460	385.7803653
461	385.2545829
462	384.6075472
463	384.3274144
464	383.8830378
465	383.5986766
466	382.8729859
467	382.326947
468	381.8505038
469	381.5578173
470	381.1117718
471	380.3003919
472	379.7202206
473	379.5657485
474	379.1324571
475	378.7466343
476	378.6513762
477	378.1198985
478	377.9124531
479	377.0305853
480	376.3240021
481	375.7419959
482	375.3768979
483	374.9259454
484	374.7300032
485	374.2952968
486	373.8104451
487	373.3984686
488	373.0006736
489	372.7742295
490	372.0003104
491	371.7416097
492	371.0663937
493	370.600317
494	370.3657818
495	370.033581
496	369.8106503
497	369.5952863
498	369.0087802
499	368.6635438
500	368.0098072
501	367.5952714
502	367.2438951
503	367.0418035
504	366.5518658
505	366.3804299
506	365.9607685
507	365.4041507
508	364.8922293
509	364.4262681
510	364.2399469
511	363.7305543
512	363.4059529
513	363.0994523
514	362.7842269
515	362.4493439
516	362.0747349
517	361.3827768
518	360.6907176
519	360.0715249
520	359.3863679
521	359.1913117
522	358.9124853
523	358.1440026
524	357.7899745
525	357.6785801
526	357.3632661
527	357.0787401
528	356.5446093
529	356.3261142
530	355.8627859
531	355.5063762
532	355.1869138
533	354.8163434
534	354.1516942
535	353.6590856
536	353.204202
537	352.8307525
538	352.5161046
539	352.0652889
540	351.5393303
541	351.2374311
542	350.9425766
543	350.580441
544	350.1825841
545	349.6119
546	348.9837429
547	348.5135703
548	347.9994517
549	347.4138903
550	347.0573591
551	346.4324996
552	346.1522759
553	346.0527808
554	345.9587721
555	345.6951565
556	345.310283
557	344.9235074
558	344.5976561
559	344.1961479
560	343.8121793
561	343.6152971
562	343.3292857
563	342.911483
564	342.5745434
565	342.1776524
566	341.9366234
567	341.529438
568	341.4712684
569	341.2052717
570	340.660299
571	340.2731816
572	340.0546424
573	339.9994584
574	339.9247676
575	339.5743948
576	339.5157767
577	339.0981101
578	338.9594127
579	338.4572973
